540.8,304,279,540.8
564.8,286.1,539,564.8
581,254.4,859,581
716,591.6,1291,716
654,557.6,1519,654
419.6,320.8,2007,419.6
323.2,244.7,2315,323.2
304.4,186.8,2619,304.4
572.3,289.2,3079,572.3
594.4,293.4,3399,594.4
132.7,478,3807,132.7
55.1,355,4087,55.1
546.2,341,4483,546.2
580.5,312.9,4715,580.5
